terrainID,position,direction,average_power
0000,0,0,174.522
0000,0,1,200.252
0000,0,2,221.1896
0000,0,3,227.9033
0000,0,4,139.1433
0000,0,5,99.64492
0000,0,6,58.54209
0000,1,0,141.0365
0000,1,1,112.6004
0000,1,2,78.46155
0000,1,3,44.77713
0000,1,4,165.15
0000,1,5,183.1698
0000,1,6,188.8633
0000,2,0,179.5673
0000,2,1,148.3872
0000,2,2,110.282
0000,2,3,66.39372
0000,2,4,214.9651
0000,2,5,225.6097
0000,2,6,223.0424
0000,3,0,154.8224
0000,3,1,171.3342
0000,3,2,185.797
0000,3,3,187.0664
0000,3,4,116.0767
0000,3,5,81.97076
0000,3,6,46.81786
0000,4,0,165.8179
0000,4,1,170.7997
0000,4,2,142.2884
0000,4,3,110.3747
0000,4,4,78.16053
0000,4,5,49.80407
0000,4,6,26.4108
0000,4,7,91.67905
0000,4,8,34.70871
0000,4,9,9.281488
0000,4,10,31.46505
0000,4,11,89.68082
0000,4,12,189.7098
0000,4,13,101.6098
0000,4,14,148.9846
0000,4,15,183.0822
0000,4,16,205.1165
0000,4,17,227.3432
0000,4,18,163.5167
0000,4,19,139.312
0000,4,20,118.2622
0000,4,21,86.38467
0000,4,22,62.64151
0000,4,23,37.52736
0000,4,24,120.9746
0000,4,25,42.92585
0000,4,26,11.41949
0000,4,27,27.98995
0000,4,28,93.53094
0000,4,29,75.52883
0000,4,30,118.6523
0000,4,31,152.8424
0000,4,32,192.472
0000,4,33,222.3298
0000,4,34,233.9807
0000,4,35,239.1236
aa00,0,0,149.0295
aa00,0,1,182.1247
aa00,0,2,196.0233
aa00,0,3,203.8788
aa00,0,4,119.3824
aa00,0,5,82.10828
aa00,0,6,48.89293
aa00,1,0,161.4408
aa00,1,1,126.2359
aa00,1,2,85.69574
aa00,1,3,53.13538
aa00,1,4,187.4896
aa00,1,5,207.6342
aa00,1,6,221.1566
aa00,2,0,148.768
aa00,2,1,113.9546
aa00,2,2,77.72631
aa00,2,3,45.8214
aa00,2,4,288.1177
aa00,2,5,192.4181
aa00,2,6,201.0832
aa00,3,0,181.5818
aa00,3,1,206.2452
aa00,3,2,222.3421
aa00,3,3,221.1689
aa00,3,4,148.8606
aa00,3,5,107.0038
aa00,3,6,63.02887
aa00,4,0,184.9163
aa00,4,1,180.4629
aa00,4,2,163.9744
aa00,4,3,145.6133
aa00,4,4,111.781
aa00,4,5,77.63698
aa00,4,6,45.32405
aa00,4,7,153.7536
aa00,4,8,64.76791
aa00,4,9,16.14941
aa00,4,10,11.82769
aa00,4,11,58.82016
aa00,4,12,149.3069
aa00,4,13,94.41286
aa00,4,14,135.648
aa00,4,15,173.877
aa00,4,16,207.7892
aa00,4,17,235.7833
aa00,4,18,170.2172
aa00,4,19,153.8592
aa00,4,20,126.9598
aa00,4,21,100.231
aa00,4,22,72.12539
aa00,4,23,40.14833
aa00,4,24,139.4942
aa00,4,25,52.88289
aa00,4,26,11.08071
aa00,4,27,15.78239
aa00,4,28,75.45442
aa00,4,29,189.1799
aa00,4,30,109.1561
aa00,4,31,148.6587
aa00,4,32,185.8256
aa00,4,33,220.4696
aa00,4,34,235.6616
aa00,4,35,244.0979
aa0a,0,0,149.715
aa0a,0,1,174.1869
aa0a,0,2,182.4009
aa0a,0,3,179.5527
aa0a,0,4,120.8569
aa0a,0,5,79.36404
aa0a,0,6,46.96965
aa0a,1,0,161.2538
aa0a,1,1,126.0396
aa0a,1,2,88.53672
aa0a,1,3,54.1678
aa0a,1,4,198.5097
aa0a,1,5,214.9366
aa0a,1,6,215.8893
aa0a,2,0,140.6156
aa0a,2,1,114.3112
aa0a,2,2,81.96867
aa0a,2,3,51.07709
aa0a,2,4,281.0979
aa0a,2,5,191.165
aa0a,2,6,177.6276
aa0a,3,0,157.8771
aa0a,3,1,191.257
aa0a,3,2,238.2831
aa0a,3,3,271.3343
aa0a,3,4,128.6654
aa0a,3,5,88.57841
aa0a,3,6,54.12112
aa0a,4,0,214.6688
