terrainID,position,direction,average_power
0000,0,0,181.0989
0000,0,1,192.0788
0000,0,2,241.1463
0000,0,3,241.7766
0000,0,4,132.2317
0000,0,5,93.19315
0000,0,6,73.81035
0000,1,0,164.3572
0000,1,1,108.4085
0000,1,2,76.29941
0000,1,3,45.8569
0000,1,4,163.0506
0000,1,5,176.3242
0000,1,6,193.1165
0000,2,0,166.4337
0000,2,1,122.0436
0000,2,2,85.58832
0000,2,3,55.42609
0000,2,4,187.6523
0000,2,5,203.2776
0000,2,6,209.5105
0000,3,0,141.823
0000,3,1,157.1562
0000,3,2,169.3169
0000,3,3,176.138
0000,3,4,116.8379
0000,3,5,85.46201
0000,3,6,53.00776
0000,4,0,183.5871
0000,4,1,170.7618
0000,4,2,153.2638
0000,4,3,128.8544
0000,4,4,96.45297
0000,4,5,69.46808
0000,4,6,38.65656
0000,4,7,16.10731
0000,4,8,3.226586
0000,4,9,23.42499
0000,4,10,16.87248
0000,4,11,34.61568
0000,4,12,64.92597
0000,4,13,98.00259
0000,4,14,128.6064
0000,4,15,159.9327
0000,4,16,189.0464
0000,4,17,209.4375
0000,4,18,184.2597
0000,4,19,170.1196
0000,4,20,136.827
0000,4,21,107.3257
0000,4,22,70.43183
0000,4,23,42.44109
0000,4,24,18.7352
0000,4,25,3.65182
0000,4,26,29.16223
0000,4,27,13.80847
0000,4,28,80.43755
0000,4,29,57.27547
0000,4,30,87.30543
0000,4,31,119.2294
0000,4,32,158.0794
0000,4,33,187.3407
0000,4,34,206.6212
0000,4,35,212.7902
aa00,0,0,149.2867
aa00,0,1,195.5235
aa00,0,2,210.2871
aa00,0,3,203.713
aa00,0,4,115.8112
aa00,0,5,83.85449
aa00,0,6,50.33257
aa00,1,0,167.5463
aa00,1,1,127.6605
aa00,1,2,85.73292
aa00,1,3,50.99756
aa00,1,4,196.83
aa00,1,5,219.1938
aa00,1,6,228.08
aa00,2,0,148.1929
aa00,2,1,114.2594
aa00,2,2,79.3064
aa00,2,3,48.03124
aa00,2,4,175.1217
aa00,2,5,190.0062
aa00,2,6,197.565
aa00,3,0,174.7164
aa00,3,1,213.1887
aa00,3,2,240.9963
aa00,3,3,228.9865
aa00,3,4,138.0449
aa00,3,5,102.091
aa00,3,6,58.04662
aa00,4,0,204.91
aa00,4,1,198.4677
aa00,4,2,175.8016
aa00,4,3,149.8952
aa00,4,4,119.3459
aa00,4,5,84.02122
aa00,4,6,51.19566
aa00,4,7,24.63758
aa00,4,8,6.603723
aa00,4,9,1.488807
aa00,4,10,15.08258
aa00,4,11,67.04213
aa00,4,12,54.23052
aa00,4,13,87.61541
aa00,4,14,122.9428
aa00,4,15,158.507
aa00,4,16,189.3476
aa00,4,17,214.252
aa00,4,18,195.8777
aa00,4,19,173.7855
aa00,4,20,145.0716
aa00,4,21,117.5258
aa00,4,22,84.394
aa00,4,23,51.23759
aa00,4,24,24.06566
aa00,4,25,7.178204
aa00,4,26,2.114763
aa00,4,27,14.93292
aa00,4,28,76.70914
aa00,4,29,57.62234
aa00,4,30,93.5414
aa00,4,31,134.4958
aa00,4,32,169.863
aa00,4,33,198.0518
aa00,4,34,221.4414
aa00,4,35,224.4411
aa0a,0,0,151.395
aa0a,0,1,175.3394
aa0a,0,2,186.3918
aa0a,0,3,195.5523
aa0a,0,4,115.6418
aa0a,0,5,84.58122
aa0a,0,6,50.81641
aa0a,1,0,158.6648
aa0a,1,1,128.0416
aa0a,1,2,92.09315
aa0a,1,3,52.85035
aa0a,1,4,189.667
aa0a,1,5,213.6055
aa0a,1,6,219.9633
aa0a,2,0,150.1362
aa0a,2,1,122.5878
aa0a,2,2,87.05708
aa0a,2,3,55.21934
aa0a,2,4,175.31
aa0a,2,5,185.6224
aa0a,2,6,204.9029
aa0a,3,0,166.7572
aa0a,3,1,192.7349
aa0a,3,2,210.9505
aa0a,3,3,218.478
aa0a,3,4,123.524
aa0a,3,5,91.15943
aa0a,3,6,60.9971
aa0a,4,0,216.1769
aa0a,4,1,201.5569
aa0a,4,2,177.7486
aa0a,4,3,153.4964
aa0a,4,4,127.6061
aa0a,4,5,93.31322
aa0a,4,6,60.40122
aa0a,4,7,31.59837
aa0a,4,8,10.65206
aa0a,4,9,1.703928
aa0a,4,10,10.14583
aa0a,4,11,43.0939
aa0a,4,12,41.28078
aa0a,4,13,78.31114
aa0a,4,14,112.7986
aa0a,4,15,140.1371
aa0a,4,16,168.2788
aa0a,4,17,161.9021
aa0a,4,18,201.229
aa0a,4,19,182.2073
aa0a,4,20,152.3295
aa0a,4,21,120.7328
aa0a,4,22,100.0869
aa0a,4,23,62.82377
aa0a,4,24,31.60225
aa0a,4,25,12.10963
aa0a,4,26,2.853489
aa0a,4,27,9.487913
aa0a,4,28,35.02598
aa0a,4,29,39.77089
aa0a,4,30,64.97921
aa0a,4,31,94.42422
aa0a,4,32,130.1897
aa0a,4,33,158.2093
aa0a,4,34,173.6397
aa0a,4,35,174.9149
aa0b,0,0,157.705
aa0b,0,1,178.2787
aa0b,0,2,198.7384
aa0b,0,3,204.3254
aa0b,0,4,123.3552
aa0b,0,5,86.54845
aa0b,0,6,53.46233
aa0b,1,0,164.1323
aa0b,1,1,130.4471
aa0b,1,2,90.85699
aa0b,1,3,52.08355
aa0b,1,4,188.8058
aa0b,1,5,219.6325
aa0b,1,6,223.4771
aa0b,2,0,151.533
aa0b,2,1,118.4695
aa0b,2,2,84.00729
aa0b,2,3,50.21116
aa0b,2,4,178.0787
aa0b,2,5,198.2175
aa0b,2,6,201.2951
aa0b,3,0,166.8929
aa0b,3,1,198.6931
aa0b,3,2,219.4573
aa0b,3,3,235.5791
aa0b,3,4,123.4951
aa0b,3,5,91.38794
aa0b,3,6,55.4977
aa0b,4,0,196.6497
aa0b,4,1,221.3439
aa0b,4,2,196.4818
aa0b,4,3,171.9084
aa0b,4,4,126.6669
aa0b,4,5,89.82454
aa0b,4,6,57.56026
aa0b,4,7,26.63712
aa0b,4,8,7.655274
aa0b,4,9,48.03431
aa0b,4,10,5.645616
aa0b,4,11,53.89281
aa0b,4,12,52.07947
aa0b,4,13,89.15569
aa0b,4,14,129.9338
aa0b,4,15,158.741
aa0b,4,16,188.3188
aa0b,4,17,205.6058
aa0b,4,18,220.5985
aa0b,4,19,190.0939
aa0b,4,20,160.6105
aa0b,4,21,127.4735
aa0b,4,22,88.77636
aa0b,4,23,56.90261
aa0b,4,24,27.59349
aa0b,4,25,8.623363
aa0b,4,26,55.98199
aa0b,4,27,7.579813
aa0b,4,28,50.08775
aa0b,4,29,50.0673
aa0b,4,30,79.32407
aa0b,4,31,118.8807
aa0b,4,32,160.8471
aa0b,4,33,191.5957
aa0b,4,34,206.0434
aa0b,4,35,215.6281
aa0c,0,0,143.3568
aa0c,0,1,172.1722
aa0c,0,2,195.9166
aa0c,0,3,210.0434
aa0c,0,4,105.8535
aa0c,0,5,82.51028
aa0c,0,6,53.42691
aa0c,1,0,160.9512
aa0c,1,1,126.7033
aa0c,1,2,92.33675
aa0c,1,3,59.0623
aa0c,1,4,184.1866
aa0c,1,5,194.0035
aa0c,1,6,193.8866
aa0c,2,0,157.3201
aa0c,2,1,124.2636
aa0c,2,2,89.7884
aa0c,2,3,57.31607
aa0c,2,4,183.3938
aa0c,2,5,201.2897
aa0c,2,6,206.9814
aa0c,3,0,166.4949
aa0c,3,1,192.0051
aa0c,3,2,205.6638
aa0c,3,3,212.1466
aa0c,3,4,133.2403
aa0c,3,5,91.50299
aa0c,3,6,53.13543
aa0c,4,0,216.2039
aa0c,4,1,214.8298
aa0c,4,2,198.7887
aa0c,4,3,177.6943
aa0c,4,4,140.2504
aa0c,4,5,104.1346
aa0c,4,6,69.95913
aa0c,4,7,41.31763
aa0c,4,8,23.18602
aa0c,4,9,17.7717
aa0c,4,10,33.62989
aa0c,4,11,78.70543
aa0c,4,12,70.11809
aa0c,4,13,103.4427
aa0c,4,14,136.9727
aa0c,4,15,169.2995
aa0c,4,16,197.9396
aa0c,4,17,212.3559
aa0c,4,18,216.8007
aa0c,4,19,197.242
aa0c,4,20,174.026
aa0c,4,21,139.84
aa0c,4,22,120.7276
aa0c,4,23,79.4445
aa0c,4,24,46.1564
aa0c,4,25,26.27264
aa0c,4,26,19.87032
aa0c,4,27,29.00462
aa0c,4,28,83.37708
aa0c,4,29,65.91224
aa0c,4,30,94.09549
aa0c,4,31,124.9754
aa0c,4,32,163.9939
aa0c,4,33,184.5747
aa0c,4,34,205.1198
aa0c,4,35,NaN
aa0d,0,0,546.1505
aa0d,0,1,241.4451
aa0d,0,2,240.7364
aa0d,0,3,268.2101
aa0d,0,4,136.8997
aa0d,0,5,94.30637
aa0d,0,6,66.05914
aa0d,1,0,188.7726
aa0d,1,1,156.4205
aa0d,1,2,112.9962
aa0d,1,3,62.10049
aa0d,1,4,218.3459
aa0d,1,5,246.6572
aa0d,1,6,255.3257
aa0d,2,0,193.6103
aa0d,2,1,151.105
aa0d,2,2,102.7058
aa0d,2,3,61.61029
aa0d,2,4,268.92
